,Date,Open,High,Low,Close,Volume
0,2021-11-06,25.3801,25.7798,25.5913,25.7045,98166.668373
1,2021-11-05,25.2799,26.1043,25.7455,25.5901,662233.070777
2,2021-11-04,25.2614,27.4652,26.8951,25.7672,851904.777628
3,2021-11-03,25.365,27.0888,26.1918,26.9062,1227897.766948
4,2021-11-02,25.1571,26.3259,25.6261,26.174,604398.569121
5,2021-11-01,24.1685,26.4744,25.0235,25.6103,931375.502973
6,2021-10-31,24.0155,25.2842,24.9287,25.0181,682587.098016
7,2021-10-30,24.4216,25.5974,25.5435,24.9333,610740.784395
8,2021-10-29,24.6526,25.82,24.9052,25.5418,1103932.925975
9,2021-10-28,23.9187,25.3842,24.1707,24.9087,1100710.116865
10,2021-10-27,23.5824,28.2914,26.5582,24.1892,1931960.34567
11,2021-10-26,26.1331,28.2659,26.7536,26.564,1411200.273052
12,2021-10-25,25.6926,26.7527,25.823,26.7515,576606.873003
13,2021-10-24,25.3436,27.2323,26.8514,25.823,532093.79452
14,2021-10-23,25.2642,26.8901,25.6304,26.8581,573027.729909
15,2021-10-22,25.326,26.85,26.0973,25.6434,496885.227067
16,2021-10-21,25.7394,27.7518,27.1353,26.1109,920009.554246
17,2021-10-20,25.5077,27.1475,26.0311,27.1322,627222.884941
18,2021-10-19,25.2469,26.3095,25.656,26.0311,547653.136915
19,2021-10-18,24.8712,26.2453,25.9229,25.6672,691928.586955
20,2021-10-17,25.043,27.1272,27.0657,25.9206,707170.593028
21,2021-10-16,25.7462,27.9454,25.88,27.0695,918617.949667
22,2021-10-15,25.375,26.8403,26.4413,25.8824,1145248.716711
23,2021-10-14,24.5399,26.4724,24.6972,26.4444,1165085.636647
24,2021-10-13,23.16,25.7461,23.4571,24.6794,1334637.382829
25,2021-10-12,22.3061,24.1692,24.1688,23.4691,1015670.107159
26,2021-10-11,23.5142,25.0855,24.1527,24.1669,859694.706512
27,2021-10-10,24.0952,26.0131,25.1536,24.1543,796708.183062
28,2021-10-09,24.5274,25.6892,24.7876,25.1523,790593.635196
29,2021-10-08,24.63,26.1144,25.5374,24.7633,901395.913407
30,2021-10-07,24.4823,26.3222,25.2606,25.536,1004353.049549
31,2021-10-06,23.8,26.0704,25.657,25.2599,1104503.473466
32,2021-10-05,24.58,25.9067,25.3509,25.6411,1248140.528665
33,2021-10-04,24.2648,26.0449,26.0428,25.3464,1044491.336203
34,2021-10-03,25.6563,26.6261,26.132,26.0389,679569.498741
35,2021-10-02,25.3773,27.2376,25.6425,26.123,1354614.51682
36,2021-10-01,23.4725,25.823,23.529,25.6453,1802255.170777
37,2021-09-30,22.631,23.9494,23.012,23.5281,1610687.626885
38,2021-09-29,22.3272,24.3008,23.06,23.0019,2380991.233001
39,2021-09-28,22.15,24.9842,22.3898,23.0788,3545456.224183
40,2021-09-27,22.2738,26.0267,24.0332,22.3949,1971093.531797
41,2021-09-26,17.5258,24.8156,19.4869,24.0475,3216748.063907
42,2021-09-25,18.96,20.11,19.6591,19.467,735153.860012
43,2021-09-24,18.1865,21.6419,21.4995,19.6567,1607734.080097
44,2021-09-23,20.8945,21.8441,21.618,21.4994,723759.622405
45,2021-09-22,18.8444,21.6594,19.0614,21.6329,1321330.722624
46,2021-09-21,18.3416,21.6363,20.9065,19.0497,1258389.493095
47,2021-09-20,20.46,23.9857,23.8978,20.9039,1388149.659132
48,2021-09-19,23.5001,24.6471,24.544,23.8949,351016.168332
49,2021-09-18,23.942,25.2015,24.3362,24.5432,410200.251789
50,2021-09-17,23.99,26.3955,26.2485,24.3316,1284939.807676
51,2021-09-16,25.3846,27.6164,27.4716,26.2444,1503872.096817
52,2021-09-15,24.7096,27.4783,25.67,27.4731,1079744.283676
53,2021-09-14,22.4866,25.9168,22.671,25.6737,1024805.585326
54,2021-09-13,21.3987,24.0415,23.7234,22.6597,1003905.748413
55,2021-09-12,22.16,24.2587,22.7234,23.7246,805199.928132
56,2021-09-11,22.2549,23.8947,22.2994,22.7396,571112.89616
57,2021-09-10,21.4068,24.2459,23.3262,22.3286,1332713.614197
58,2021-09-09,22.7335,24.7243,23.1599,23.2851,1375193.752893
59,2021-09-08,21.3671,24.9884,24.3397,23.1468,1689014.354047
60,2021-09-07,20.825,29.3309,28.8434,24.3113,2316860.686893
61,2021-09-06,28.4045,30.3251,29.3774,28.8434,979733.345698
62,2021-09-05,28.3537,29.5096,28.5806,29.3759,539653.369978
63,2021-09-04,28.2162,29.4779,28.6634,28.5789,733387.934374
64,2021-09-03,28.3149,31.2077,29.9318,28.6593,1782976.453371
65,2021-09-02,29.519,31.4269,31.3669,29.9413,954693.2852
