,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.08437,0.10949,0.08811,0.10472,229170634
1,2021-12-19,0.0871,0.097,0.09361,0.08792,90106430
2,2021-12-18,0.08972,0.10239,0.08972,0.09344,134754408
3,2021-12-17,0.08631,0.114,0.10939,0.08971,312928601
4,2021-12-16,0.07557,0.11566,0.07662,0.10943,365084152
5,2021-12-15,0.06928,0.08,0.07808,0.07646,115200075
6,2021-12-14,0.07515,0.093,0.07841,0.0781,134205485
7,2021-12-13,0.0762,0.10346,0.0981,0.07812,165107687
8,2021-12-12,0.09369,0.12016,0.11994,0.09829,150617102
9,2021-12-11,0.10821,0.17599,0.154,0.11994,292928419
10,2021-12-10,0.0845,0.18999,0.12722,0.15411,299673251
11,2021-12-09,0.099,0.16,0.145,0.12888,45435235
